produit,categorie,annee,prix_mad_par_kg,prix_usd_par_kg,produit_faostat,code_produit_cpc,drapeau_qualite,source,source_url
Clémentines,Fruits,2007,3.71,0.453,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2008,4.27,0.551,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2009,4.42,0.549,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2010,4.21,0.5,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2011,3.87,0.478,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2012,4.14,0.48,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2013,4.36,0.519,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2014,2.68,0.319,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2015,2.96,0.303,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2016,3.59,0.366,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2017,1.59,0.164,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2018,1.42,0.151,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2019,1.61,0.167,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2020,2.83,0.298,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2021,3.1,0.344,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2022,3.58,0.352,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2023,3.39,0.335,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
